1.202692,100,10,18
0.914175,100,15,18
0.948668,100,20,18
0.8714008,100,25,18
0.9013689,100,30,18
0.705833,140,10,18
0.7971878,140,15,18
0.8470638,140,20,18
0.797672,140,25,18
0.858088,140,30,18
0.7328658,180,10,18
0.7776761,180,15,18
0.7983553,180,20,18
0.8829482,180,25,18
0.8568001,180,30,18
0.748513,220,10,18
0.8427372,220,15,18
0.73332,220,20,18
0.756454,220,25,18
0.7704508,220,30,18
0.8693671,260,10,18
0.6865489,260,15,18
0.6977789,260,20,18
0.6937561,260,25,18
0.7822311,260,30,18
0.7160769,300,10,18
0.6576481,300,15,18
0.689851,300,20,18
0.683543,300,25,18
0.6667809,300,30,18
0.6932151,340,10,18
0.6561651,340,15,18
0.6748059,340,20,18
0.6410632,340,25,18
0.7596359,340,30,18
0.6682341,380,10,18
0.6470671,380,15,18
0.6763527,380,20,18
0.72945,380,25,18
0.6860521,380,30,18
0.6225517,420,10,18
0.679281,420,15,18
0.6482151,420,20,18
0.655437,420,25,18
0.7050939,420,30,18
0.6304178,460,10,18
0.6710868,460,15,18
0.6829393,460,20,18
0.8593891,460,25,18
0.9435041,460,30,18
0.6824567,500,10,18
0.6381588,500,15,18
0.812691,500,20,18
0.6577818,500,25,18
0.683301,500,30,18
2.6652758,100,10,20
2.5988181,100,15,20
2.8526492,100,20,20
2.5939322,100,25,20
2.673737,100,30,20
2.4403169,140,10,20
2.4284968,140,15,20
2.396488,140,20,20
2.4125211,140,25,20
2.369704,140,30,20
2.1053939,180,10,20
2.107749,180,15,20
2.1582839,180,20,20
2.1945841,180,25,20
2.2023911,180,30,20
1.9777989,220,10,20
2.028302,220,15,20
2.0940561,220,20,20
2.0797329,220,25,20
2.0806999,220,30,20
1.912384,260,10,20
1.9297812,260,15,20
1.8553181,260,20,20
2.0404639,260,25,20
1.9808052,260,30,20
1.787025,300,10,20
1.8780589,300,15,20
1.9773939,300,20,20
1.8239501,300,25,20
1.8842812,300,30,20
1.638942,340,10,20
1.7453508,340,15,20
1.7505658,340,20,20
1.7247198,340,25,20
1.99106,340,30,20
1.6814959,380,10,20
1.7683029,380,15,20
1.734808,380,20,20
2.067512,380,25,20
1.8660879,380,30,20
1.6400142,420,10,20
1.6122439,420,15,20
1.6411881,420,20,20
1.652504,420,25,20
1.6928253,420,30,20
1.6330931,460,10,20
1.6577542,460,15,20
1.6605871,460,20,20
1.8513548,460,25,20
1.6570868,460,30,20
1.5165257,500,10,20
1.4835019,500,15,20
1.5583298,500,20,20
1.514401,500,25,20
1.509074,500,30,20
9.620924,100,10,22
9.351743,100,15,22
10.069298,100,20,22
9.5829031,100,25,22
9.5410261,100,30,22
8.4302208,140,10,22
8.4187388,140,15,22
8.6560221,140,20,22
8.4062419,140,25,22
8.613631,140,30,22
7.9471838,180,10,22
7.6180279,180,15,22
7.7234089,180,20,22
7.6314521,180,25,22
7.6385992,180,30,22
